id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
11711;Sem Marca;Saia Lisa;30.00;30.00;Saia de cintura alta com zÌper.;P;Vintage;;VENDIDO;15:52.9;VERIFICADO
11713;Nicolassi;Bolsa Carteira;50.00;50.00;Bolsa tipo carteira vintage com divisÛrias dentro e zÌper atr·s.;U;Vintage;;VENDIDO;18:01.9;VERIFICADO
11719;Scudatto;Blazer Scudatto;73.00;73.00;Blazer 46 masculino com trÍs botıes e bolsos na frente.;M;Vintage;;VENDIDO;48:57.6;VERIFICADO
11721;Neguy's;Short Alto Neguy‚Äôs;40.00;40.00;Short de cintura alta jeans com barra cortada e dobrada.;38;Vintage;;VENDIDO;35:03.9;VERIFICADO
11738;Curthy;Jaqueta de Couro Curthy;90.00;90.00;Jaqueta de couro com recortes diferenciados. Possui zÌper e bolsos na frente.;G;Vintage;;VENDIDO;23:13.8;VERIFICADO
11739;Pepperone;Jaqueta Pepperone;60.00;60.00;Jaqueta jeans com botıes e bolsos na frente.;G;Vintage;;VENDIDO;35:36.4;VERIFICADO
11740;Silv√¢nia Miranda;Blazer Brocado;45.00;45.00;Blazer brocado sem botıes. Possui a opÁ„o de ser amarrado com uma fita na frente.;P;Vintage;;VENDIDO;08:50.6;VERIFICADO
11745;Beck's;Jaqueta Beck‚Äôs;62.00;62.00;Jaqueta jeans com botıes e bolsos na frente.;G;Vintage;;VENDIDO;41:12.0;VERIFICADO
15344;Barba e Bigode;Camisa Branca + Jeans Losangos;89.00;89.00;Camisa branca com parte da frente em jeans bem fino, que apresenta pequenos losangos maquinetados no tecido. A manga È curta e possui dois bolsos frontais.;M;Novo;;VENDIDO;28:14.9;VERIFICADO
11754;Sem Marca;Cardigan GeomÈtrico;78.00;78.00;Cardigan com padronagem geomÈtrica e botıes na frente.;M;Vintage;;VENDIDO;31:19.2;VERIFICADO
15175;Ravina;Camisa Ravina Industry Co;59.00;59.00;Camisa xadrez de manga comprida com um bolso na frente.;GG;Vintage;;VENDIDO;00:09.1;VERIFICADO
15181;OK Malhas;Cardigan OK Malhas;79.00;79.00;Cardigan cinza com listras nas barras.;M;Vintage;;VENDIDO;26:13.6;VERIFICADO
19962;Liminar Premium;CalÁa Cereja Liminar;49.00;49.00;CalÁa jeans na cor cereja, com modelagem super skinny.;38;Novo;;DISPONIVEL;32:17.9;VERIFICADO
19963;Tutti Tanto;Camisa Vintage Tutti Tanto;79.00;79.00;Camisa vintage oversized com estampa floral, de manga curta.;GG;Vintage;;VENDIDO;32:02.3;VERIFICADO
19964;Mar Groso;Camisa Estrelas;69.00;69.00;Camisa oversized branca, com estampa de estrelas azuis. Possui um bolso na parte da frente.;G;Vintage;;VENDIDO;27:10.6;VERIFICADO
19965;Enke & Cia;Regata Navy Marine Equipe;49.00;49.00;Regata listrada em vermelho e branco, com bordado na parte da frente.;M;Vintage;;VENDIDO;33:15.7;VERIFICADO
15187;Sem Marca;Cropped Zara;39.00;39.00;Cropped com estampa de pied de poule.Possui zÌper atr·s.;P;Vintage;;DISPONIVEL;44:10.4;VERIFICADO
14509;Sem Marca;Camisa Flores e Arabescos;39.00;39.00;Camisa estampada em tecido fino com transparÍncia. Possui forro na frente.;G;Vintage;;VENDIDO;16:14.8;VERIFICADO
15193;Sem Marca;SuÈter Tijolo;89.00;89.00;SuÈter estampado.;G;Vintage;;VENDIDO;27:07.6;VERIFICADO
19972;Sea Club;Camisa de Manga Longa Sea Club;49.00;49.00;Camisa estampada de manga longa, sem bolsos.;G;Vintage;;VENDIDO;37:27.7;VERIFICADO
14513;Pinko;Cardigan Pinko;39.00;39.00;Cardigan estampado com manga morcego.;M;Vintage;;VENDIDO;08:57.1;VERIFICADO
19976;D Kemi„;Camiseta Puro Amor;19.00;19.00;Camiseta vintage de golinha alta estampada, e estampa localizada na frente, no melhor estilo Anos 90.;M;Vintage;;VENDIDO;24:37.3;VERIFICADO
14515;Firethorn;Camisa Firethorn;29.00;29.00;Camisa de seda estampada com um bolso na frente.;G;Vintage;;VENDIDO;33:46.9;VERIFICADO
15199;Sem Marca;Trench Coat;69.00;119.00;Trench coat bege com botıes pretos.;42;Vintage;;VENDIDO;42:24.5;VERIFICADO
15205;Sem Marca;Cardigan Dark Blue;89.00;89.00;Casaco com estampa abastrata.;GG;Vintage;;VENDIDO;23:52.1;VERIFICADO
14527;Sem Marca;Cropped Floral;29.00;29.00;Cropped de manga longa estampada.;G;Vintage;;VENDIDO;43:58.3;VERIFICADO
15211;Colcci;Casaco Colcci;99.00;99.00;Casaco de pelo colorido.;P;Vintage;;VENDIDO;42:54.3;VERIFICADO
14529;Valerie Stevens;Camisa Jeans Bordada;25.00;35.00;Camisa jeans bordada com bolsos na frente.;M;Vintage;;VENDIDO;04:15.2;VERIFICADO
14531;Globe;Camisa de Seda;57.00;57.00;Camisa de manga curta estampada.;G;Vintage;;VENDIDO;16:30.6;VERIFICADO
14533;Gdom;Cardigan G‚Äôdom;55.00;55.00;Cardigan estampado com botıes na frente. Possui fios com brilho.;GG;Vintage;;VENDIDO;39:43.1;VERIFICADO
15217;Luigi Bertolli;SuÈter Luigi Bertolli;79.00;79.00;SuÈter com estampa na frente.;GG;Vintage;;VENDIDO;04:34.0;VERIFICADO
15229;Sem Marca;Camisa Matite;69.00;69.00;Camisa de manga curta com dois bolsos na frente.;M;Vintage;;VENDIDO;53:43.5;VERIFICADO
14361;Sem Marca;Cinto Militar;17.00;17.00;Cintu verde escuro para cintura.;U;Vintage;;VENDIDO;30:54.3;VERIFICADO
